Geneid	GeneName	NewName	9_SC1	10_Ssh1	11_SC2	12_Ssh2
ENSG00000165895	ARHGAP42	ENSG00000165895_ARHGAP42	66	34	41	48
ENSG00000165898	ISCA2	ENSG00000165898_ISCA2	810	480	401	449
ENSG00000165899	OTOGL	ENSG00000165899_OTOGL	4	0	0	0
ENSG00000165905	LARGE2	ENSG00000165905_LARGE2	903	1304	746	916
ENSG00000165912	PACSIN3	ENSG00000165912_PACSIN3	3352	2499	2059	2405
ENSG00000165914	TTC7B	ENSG00000165914_TTC7B	694	758	639	826
ENSG00000165915	SLC39A13	ENSG00000165915_SLC39A13	1924	1821	1520	1621
ENSG00000165916	PSMC3	ENSG00000165916_PSMC3	4896	1977	2978	2555
ENSG00000165917	RAPSN	ENSG00000165917_RAPSN	5	10	6	6
ENSG00000165923	AGBL2	ENSG00000165923_AGBL2	12	12	11	25
ENSG00000165929	TC2N	ENSG00000165929_TC2N	549	412	394	525
ENSG00000165934	CPSF2	ENSG00000165934_CPSF2	4158	2049	2104	2593
ENSG00000165935	SMCO2	ENSG00000165935_SMCO2	5	2	6	17
ENSG00000165943	MOAP1	ENSG00000165943_MOAP1	594	585	401	833
ENSG00000165948	IFI27L1	ENSG00000165948_IFI27L1	561	568	342	651
ENSG00000165949	IFI27	ENSG00000165949_IFI27	17	40	24	98
ENSG00000165953	SERPINA12	ENSG00000165953_SERPINA12	0	0	0	0
ENSG00000165959	CLMN	ENSG00000165959_CLMN	192	173	109	192
ENSG00000165966	PDZRN4	ENSG00000165966_PDZRN4	0	0	0	0
ENSG00000165970	SLC6A5	ENSG00000165970_SLC6A5	0	0	0	0
ENSG00000165972	CCDC38	ENSG00000165972_CCDC38	6	0	2	6
ENSG00000165973	NELL1	ENSG00000165973_NELL1	0	0	0	0
ENSG00000165983	PTER	ENSG00000165983_PTER	234	144	145	174
ENSG00000165985	C1QL3	ENSG00000165985_C1QL3	0	0	0	0
ENSG00000165995	CACNB2	ENSG00000165995_CACNB2	2	2	1	3
ENSG00000165996	HACD1	ENSG00000165996_HACD1	289	267	189	229
ENSG00000165997	ARL5B	ENSG00000165997_ARL5B	1564	761	808	1242
ENSG00000166002	SMCO4	ENSG00000166002_SMCO4	110	34	95	62
